retailer,category,product_url,sku,name,brand,price_gbp,price_was,is_on_promotion,size_raw,size_ml,price_per_litre,abv_percent,pack_type,country_of_origin,flavour_style,availability,description,field_sources,scraped_at
morrisons,rum,https://groceries.morrisons.com/products/malibu-original-white-rum-with-coconut-flavour/113469227,113469227,Malibu Original White Rum with Coconut Flavour,Malibu,15.5,22.5,True,1L,1000.0,15.5,18.0,Can,Spain,creamy coconut,InStock,"Malibu Original White Rum with Coconut is the perfect drink for when the sun is setting and the good times are flowing. Thanks to its smooth, fresh taste, that sun-kissed island feeling is only a sip away. Malibu rum has a full and rounded, lightly toasted coconut aroma, and a creamy coconut taste with vanilla custard notes. The body is delicate with a soft warming rum taste and a lasting silky finish.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""css"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:07:02Z
morrisons,rum,https://groceries.morrisons.com/products/bumbu-original-rum/112613936,112613936,Bumbu Original Rum,Bumbu,39.0,,False,70cl,700.0,55.71,40.0,Glass Bottle,Barbados,soft caramel Madagascar vanilla toasted oak cinnamon roasted nuts allspice,InStock,"BUMBU: Dating back to the 16th century, when sailors of the West Indies added Caribbean fruits and spices to their rum, calling it ""Bumbu"". Flagship Original Bumbu is blended from fine Barbados rum and hand-selected spices that evoke its rich and colorful history, revealing heritage and craftsmanship with every sip. <br><br>CARIBBEAN RUM: An authentic Caribbean legend, Bumbu is an exquisite all-natural craft rum made with native ingredients and aged for up to 15 years to create an effortlessly smooth and balanced rum with complexity and depth. Bumbu uses the finest sugarcane from sustainable farms throughout the Caribbean and South America. <br><br>TASTING NOTES: On the nose, Bumbu offers complex aromas of soft caramel, Madagascar vanilla and toasted oak The palate is medium bodied with notes of cinnamon, roasted nuts and allspice, leading up to a slightly sweet, smooth finish.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:07:02Z
morrisons,rum,https://groceries.morrisons.com/products/malibu-original-white-rum-with-coconut-liqueur/113467820,113467820,Malibu Original White Rum with Coconut Liqueur,Malibu,17.0,,False,70cl,700.0,24.29,18.0,Can,Spain,"smooth, fresh taste",InStock,"Malibu Original White Rum with Coconut is the perfect drink for when the sun is setting and the good times are flowing. Thanks to its smooth, fresh taste, that sun-kissed island feeling is only a sip away. Malibu rum has a full and rounded, lightly toasted coconut aroma, and a creamy coconut taste with vanilla custard notes. The body is delicate with a soft warming rum taste and a lasting silky finish.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:07:03Z
morrisons,rum,https://groceries.morrisons.com/products/bacardi-carta-blanca-superior-white-rum-1l/101550917,101550917,Bacardi Carta Blanca Superior White Rum 1L,Bacardi,19.5,25.5,True,1L,1000.0,19.5,37.5,Glass Bottle,United States,"light, aged rum",InStock,"BACARDÍ Carta Blanca Superior white rum is aged in American white oak barrels and shaped through charcoal for a distinctive smoothness, making it perfect for classic rum cocktails. This light, aged rum offers a smooth and creamy taste.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""css"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:07:03Z
morrisons,rum,https://groceries.morrisons.com/products/kraken-black-spiced-rum/106753431,106753431,Kraken Black Spiced Rum ,Kraken,21.0,26.5,True,70cl,700.0,30.0,40.0,Glass Bottle,United States,"Cinnamon, vanilla, nutmeg",InStock,"The Kraken is imported Caribbean rum blended with spices, caramel and other natural flavours. <br>Named for the sea beast of myth and legend, The Kraken is bold, rich, black and smooth.<br>The largest shipment of Caribbean black spiced rum was said to be brought down by the Kraken.<br>The rum was named in its honour, as it was as dark and mysterious as the beast's ink.<br>The Kraken is housed in a replica of a Victorian flagon, which allowed the bottle to be hung up on board ships so it would not roll around and come to harm.<br><br>Tasting Notes<br>Appearance - Black, opaque.<br>Aroma - Caramel, toffee, spice.<br>Flavour - Cinnamon, vanilla, nutmeg.<br>Finish - A spicy and lingering finish.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""css"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:07:03Z
morrisons,rum,https://groceries.morrisons.com/products/captain-morgan-spiced-gold-0-0-alcohol-free-spirit/113377445,113377445,Captain Morgan Spiced Gold 0.0% Alcohol Free Spirit ,Captain Morgan,16.0,,False,70cl,700.0,22.86,0.0,,Italy,spiced caramel molasses vanilla,InStock,"Introducing Captain Morgan Spiced Gold 0.0% Alcohol Free Spirit. Enjoy an irresistible spiced flavour and smooth taste of Captain Morgan Original Spiced Gold, without the alcohol. Experience the versatility when it comes to mixing your favourite cocktails and enjoy the luscious notes of caramel, molasses, vanilla and warm brown spices. Best enjoyed mixed with cola in a glass with ice and lime for a smooth, refreshing taste.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""missing"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:07:04Z
morrisons,rum,https://groceries.morrisons.com/products/the-kraken-black-cherry-madagascan-vanilla-rum/113049185,113049185,The Kraken Black Cherry & Madagascan Vanilla Rum,The Kraken,21.0,26.5,True,70cl,700.0,30.0,40.0,Glass Bottle,,fruity and flavourful,InStock,A fruity and flavourful fusion of our signature Black Spiced Caribbean Rum with rich black cherries and an undercurrent of smooth Madagascan vanilla.,"{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""missing"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""css"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:07:05Z
morrisons,rum,https://groceries.morrisons.com/products/dead-man-s-finger-golden-spiced-rum-70cl/115067141,115067141,Dead Man's Finger Golden Spiced Rum 70CL,Dead Mans Fingers,25.0,,False,70cl,700.0,35.71,32.0,Bottle,,sweet creamy vanilla cinnamon and fresh lime,InStock,"This Golden Spiced is a blend of the finest rum with flavours including sweet creamy vanilla, cinnamon and fresh lime.<br>Enjoy it mixed with cola, lemonade or ginger beer. Either way, this is not your usual this is Cornish Soul.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""missing"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:07:05Z
morrisons,rum,https://groceries.morrisons.com/products/havana-club-7-year-old-dark-rum/108454240,108454240,Havana Club 7 Year Old Dark Rum,Havana Club,29.0,,False,70cl,700.0,41.43,40.0,Bottle,Cuba,"aromatic tobacco, sweet tropical fruits, molasses, spices, and vanilla",InStock,"Havana Club 7 Year Old perfectly demonstrates the versatility of high- quality Cuban rum, as well as the deep commitment and expertise of our Rum Masters with the complex ageing process.<br><br>Crafted for sipping, to be enjoyed on the rocks and ideal for rich cocktails: Havana Club 7 Year Old is highly versatile. This dark rum, matured in ex-Bourbon barrels, showcases the rich natural flavours of Cuba. The liquid unveils the tastes of the Cuban terroir: aromatic tobacco, sweet tropical fruits, molasses, spices, and vanilla from the continuous ageing process, enhanced by the slow release of aromas.<br><br>Packaging May Vary<br>","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:07:07Z
morrisons,rum,https://groceries.morrisons.com/products/mount-gay-eclipse-barbados-golden-rum-70cl/115116724,115116724,Mount Gay Eclipse Barbados Golden Rum 70CL,Mount Gay,19.5,25.0,True,700ml,700.0,27.86,37.5,,,"fresh vanilla, almond, ripe banana and dark chocolate",InStock,"Mount Gay Eclipse Barbados golden rum is distilled in traditional copper pot and column stills, then matured in ex-American whiskey casks. Eclipse is the embodiment of the Mount Gay style with notes of fresh vanilla, almond, ripe banana and dark chocolate, perfect for cocktails","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""missing"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""css"", ""name"": ""jsonld"", ""pack_type"": ""missing"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:07:08Z
