retailer,category,product_url,sku,name,brand,price_gbp,price_was,is_on_promotion,size_raw,size_ml,price_per_litre,abv_percent,pack_type,country_of_origin,flavour_style,availability,description,field_sources,scraped_at
morrisons,vodka,https://groceries.morrisons.com/products/j-j-vodka-artisanal-vodka-37-5-1l/113168459,113168459,J.J Vodka Artisanal Vodka 37.5%   1L,JJ Vodka,23.75,,False,1L,1000.0,23.75,37.5,Glass Bottle,United Kingdom,,InStock,,"{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""missing"", ""flavour_style"": ""missing"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:11Z
morrisons,vodka,https://groceries.morrisons.com/products/fris-vodka-1l/114159853,114159853,Fris Vodka 1L,Fris,18.0,21.75,True,1L,1000.0,18.0,37.5,Glass Bottle,,,InStock,,"{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""missing"", ""description"": ""missing"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""css"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:11Z
morrisons,vodka,https://groceries.morrisons.com/products/absolut-blue-original-swedish-vodka-70cl/101541973,101541973,Absolut Blue Original Swedish Vodka 70CL,Absolut,19.0,23.75,True,70cl,700.0,27.14,40.0,Bottle,Sweden,Rich and full bodied,InStock,"Absolut Vodka is one of the worlds most famous vodkas. It is made exclusively from natural ingredients with winter wheat grown in the fields of Åhus, Sweden and absolutely no added sugar. Rich and full bodied, Absolut blends beautifully to enhance the taste of your favourite drinks and cocktails. This timeless vodka is the perfect gift to offer for a birthday present, or for anniversaries, Father's Day, Mother's Day, Christmas and other special occasions. <br><br>Serving suggestion: Simply pour over ice, add soda or lemonade and garnish with lime or use in any of your favourite vodka cocktails. <br><br>Packaging May Vary.<br>","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""css"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:11Z
morrisons,vodka,https://groceries.morrisons.com/products/sobieski-vodka/113049231,113049231,Sobieski Vodka,Sobieski Vodka,23.0,,False,1L,1000.0,23.0,37.5,Glass Bottle,,,InStock,,"{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""missing"", ""description"": ""missing"", ""flavour_style"": ""missing"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:11Z
morrisons,vodka,https://groceries.morrisons.com/products/j-j-vodka-raspberry-32-abv/114500855,114500855,J.J  Vodka Raspberry (32% Abv),J.J. Whitley,19.5,22.5,True,1L,1000.0,19.5,32.0,Glass Bottle,,,InStock,,"{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""missing"", ""description"": ""missing"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""css"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:11Z
morrisons,vodka,https://groceries.morrisons.com/products/j-j-whitley-artisanal-vodka/111092745,111092745,J.J. Whitley Artisanal Vodka ,J J Whitley,22.5,,False,1L,1000.0,22.5,38.0,Glass Bottle,United Kingdom,"warming spice and rich, smooth taste",InStock,"J.J Whitley Artisanal Russian Vodka is the result of the determination of one family to create a high quality, entirely unique Russian Vodka. A truly artisanal production process combines only the finest winter wheat with the crystalline water from the private well on the family's property. This ancestral approach to collective handcrafted, local produce results in an exceptional balanced vodka with warming spice and a rich, smooth taste.<br>Award-winning: International Wine &amp; Spirit Competition 2020 - Gold (95 points)<br>San Francisco World Spirits Competition Gold Winner 2021<br>IWSC (International Wine &amp; Spirits Competition) Gold Winner 2020<br>A sublimely smooth sipping vodka. A perfect accompaniment for your favourite mixer. An equally versatile cocktail hero ingredient. J.J Whitley Artisanal Russian Vodka is perfect for any occasion.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:11Z
morrisons,vodka,https://groceries.morrisons.com/products/absolut-raspberri-raspberry-flavoured-vodka-70cl/112393312,112393312,Absolut Raspberri Raspberry Flavoured Vodka 70CL,Absolut,23.5,,False,70cl,700.0,33.57,38.0,Glass Bottle,,rich and intense,InStock,"Absolut Raspberri Vodka is rich and intense with the fresh and fruity taste of ripened raspberries harvested in the Swedish hillsides. This raspberry flavoured vodka is made exclusively from natural ingredients, and unlike other flavoured vodkas, it doesn't contain any added sugar, making it perfect for mixing. It can be enjoyed neat, on the rocks or added to a wide selection of drinks and cocktails to enhance the taste.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""missing"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:12Z
morrisons,vodka,https://groceries.morrisons.com/products/served-espresso-martini-125ml/115022550,115022550,Served Espresso Martini 125ml,Served,3.75,,False,125ml,125.0,30.0,14.9,,,"Rich, smooth, bitter-sweet",InStock,"Rich, smooth, bitter-sweet. <br><br>Bar-quality Espresso Martini, full-strength at 14.9% ABV, made with SERVED Founders Reserve four-times distilled premium French vodka, cold brew coffee and coffee liqueur.<br><br>Shake, pour and serve. <br><br>100% Natural. Vegan. Gluten-free","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""missing"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""missing"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:13Z
morrisons,vodka,https://groceries.morrisons.com/products/absolut-tabasco-700ml/115874605,115874605,Absolut Tabasco 700ml,Absolut,23.25,,False,700ml,700.0,33.21,38.0,Bottle,Sweden,spicy,InStock,"ABSOLUT® and TABASCO join forces to deliver a spicy flavoured vodka that is the perfect balance of heat and flavour. Coming in hot is ABSOLUT® TABASCO™, a chili pepper flavoured vodka where each sip contains the distinct notes of aged Tabasco chili peppers and vinegar with an underlying sweetness. This delivers a bold and pleasant heat experience that engages all the senses, immediately inviting another sip. Together with vodka and tomato juice, TABASCO™ is considered one of the key ingredients in the creation of the Bloody Mary. Inevitably this was a perfect match waiting to happen – ABSOLUT® and TABASCO™ have joined forces to deliver a vodka that is the perfect balance of heat and inviting Tabasco chili pepper flavor. Mix ABSOLUT® TABASCO™ with tomato juice, Worcester sauce, lemon juice and a pinch of salt and pepper for the ultimate Spicy Bloody Mary. ABSOLUT® TABASCO™ is made with natural flavors and is produced and bottled in Åhus, Sweden. The main ingredients of ABSOLUT® TABASCO™ are winter wheat, and water sourced from local wells up to 176 m deep.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:14Z
morrisons,vodka,https://groceries.morrisons.com/products/smirnoff-mango-passionfruit/112444095,112444095,Smirnoff Mango & Passionfruit ,Smirnoff,18.5,,False,70cl,700.0,26.43,35.0,,United Kingdom,"bold, tropical and fruity",InStock,"Smirnoff Mango & Passionfruit Twist flavoured spirit is an exciting new taste sensation that expertly blends bold, tropical and fruity flavours. Made with exceptionally smooth Smirnoff No. 21 vodka, triple distilled from a blend of the finest grains and filtered ten times in a unique process through seven columns of charcoal. Smirnoff Mango & Passionfruit Twist is the perfect accompaniment for get togethers with friends and is best served with lemonade over ice and a slice of lime or mango wedge. Mix up delicious cocktails that everyone will love.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""missing"", ""price_gbp"": ""jsonld"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-29T14:04:16Z
