retailer,category,product_url,sku,name,brand,price_gbp,price_was,is_on_promotion,size_raw,size_ml,abv_percent,pack_type,country_of_origin,flavour_style,availability,description,field_sources,scraped_at
morrisons,gin,https://groceries.morrisons.com/products/caorunn-gin/106909896,106909896,Caorunn Gin ,Caorunn,23.5,30.5,True,70cl,700.0,41.8,Glass Bottle,,"Invigorating, clean and crisp",InStock,"Invigorating, clean and crisp, aromatic with a long dry finish.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""missing"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""css"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-28T17:18:37Z
morrisons,gin,https://groceries.morrisons.com/products/schweppes-slimline-tonic-water/100159422,100159422,Schweppes Slimline Tonic Water ,Schweppes,1.9,,False,1L,1000.0,,Plastic Bottle,,timeless classic,InStock,"Masterfully made with quinine since 1783. A timeless classic, Perfect mixed with Gordon's®.<br><br>With Sweetener<br><br>Serve cold for maximum refreshment.<br><br>Store in a cool and dry place<br><br>Please recycle.","{""abv_percent"": ""missing"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""missing"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-28T17:18:38Z
morrisons,gin,https://groceries.morrisons.com/products/bombay-sapphire-london-dry-gin-1l/101547574,101547574,Bombay Sapphire London Dry Gin 1L,Bombay Sapphire,20.0,31.0,True,1L,1000.0,40.0,Glass Bottle,United Kingdom,"balanced, bright, fresh and citrus-forward taste",InStock,"In its iconic blue bottle, Bombay Sapphire London Dry Gin features 10 hand selected botanicals from around the world, creating a balanced, bright, fresh and citrus-forward taste. Perfect for classic gin cocktails like a Gin & Tonic or Sapphire Negroni.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""css"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-28T17:18:38Z
morrisons,gin,https://groceries.morrisons.com/products/fever-tree-light-mediterranean-tonic/109708096,109708096,Fever-Tree Light Mediterranean Tonic,Fever-Tree,4.5,5.35,True,8 x 150ml,1200.0,,,United Kingdom,,InStock,"If 3/4 of your drink is the mixer, mix with the best.","{""abv_percent"": ""missing"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""css"", ""name"": ""jsonld"", ""pack_type"": ""missing"", ""price_gbp"": ""jsonld"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-28T17:18:38Z
morrisons,gin,https://groceries.morrisons.com/products/fever-tree-refreshingly-light-indian-tonic-water/107830792,107830792,Fever-Tree Refreshingly Light Indian Tonic Water,Fever-Tree,4.5,5.35,True,8 x 150ml,1200.0,,,Netherlands,,InStock,"By blending luscious botanical oils with spring water and quinine of the highest quality from the 'fever trees' from the eastern hill ranges of the Democratic Republic of Congo, we have created a delicious, award-winning tonic water.","{""abv_percent"": ""missing"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""css"", ""name"": ""jsonld"", ""pack_type"": ""missing"", ""price_gbp"": ""jsonld"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-28T17:18:38Z
morrisons,gin,https://groceries.morrisons.com/products/j-j-gin-london-dry-gin-1l/113168694,113168694,J.J. Gin London Dry Gin 1L,JJ Gin,18.5,23.75,True,1L,1000.0,37.5,Glass Bottle,,London Dry Gin,InStock,,"{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""missing"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""css"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-28T17:18:38Z
morrisons,gin,https://groceries.morrisons.com/products/fever-tree-premium-indian-tonic-water/107830661,107830661,Fever-Tree Premium Indian Tonic Water,Fever-Tree,4.75,5.6,True,8 x 150ml,1200.0,,,,clean and refreshing,InStock,"Our Premium Indian Tonic water uses a handful of different botanicals, including our distinctive quinine and oils from Mexican Bitter Oranges, to give a uniquely clean and refreshing taste and aroma.","{""abv_percent"": ""missing"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""missing"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""css"", ""name"": ""jsonld"", ""pack_type"": ""missing"", ""price_gbp"": ""jsonld"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-28T17:18:38Z
morrisons,gin,https://groceries.morrisons.com/products/gordon-s-alcohol-free-spirit-with-distilled-botanicals-0-vol/111614056,111614056,Gordon's Alcohol Free Spirit with Distilled Botanicals 0% vol ,Gordon's,15.0,,False,70cl,700.0,0.0,,Italy,"bold, piney juniper-led",InStock,"Gordon's 0.0% Alcohol Free Spirit provides the bold, piney juniper-led taste you'd expect from Gordon's, but without the alcohol. It delivers a truly authentic and vibrant non-alcoholic experience that captures the spirit of the range perfectly. Recommended for your mocktails and as the perfect alcohol-free alternative to your usual gin and tonic.","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""missing"", ""price_gbp"": ""jsonld"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-28T17:18:38Z
morrisons,gin,https://groceries.morrisons.com/products/hendrick-s-gin-abv-41-4-70cl/101553018,101553018,Hendrick's Gin (Abv 41.4%)   70cl,Hendrick's,33.5,,False,70cl,700.0,41.4,Bottle,Scotland,smooth with subtle flavours rose and cucumber,InStock,"- No other Gin tastes like Hendrick’s because no other Gin is made like Hendrick’s. Smooth, with a balance of subtle flavours, Hendrick's Gin is a deliciously refreshing infusion of rose petal and cucumber essence.<br>- Perfectly delectable whether neat or mixed, Hendrick’s Original Gin, with its signature cucumber garnish, is a refreshingly exquisite addition to any summer garden party or BBQ that will have your guests coming back for more.<br>- Elevate any Gin cocktail and special summer night with Hendrick’s Gin – opt for a refreshingly curious Hendrick’s Cucumber Lemonade or release your inner mixologist and shake up a Hendrick’s Martini, or sip a delightful Hendrick’s Negroni.<br>- Hendrick’s Gin is an exquisite gift for any drinker and any occasion, the bold vintage design elevates the at-home entertaining experience for any Gin lover, cocktail expert, or at-home bartenders alike.<br>- For a taste of summer in every sip, concoct the classic Hendrick’s and Tonic – a simple, yet elegant, drink perfect for any summer gathering. Simply serve Hendrick's over ice with tonic water and garnish with thinly sliced cucumber.<br><br>Experience the unique infusion of rose and cucumber with Hendrick’s Gin. This balance of distinctive yet subtle flavours adds a remarkable twist to the quintessential gin and tonic. Why settle for ordinary when you can have deliciously unusual?<br><br>Crafting gin cocktails<br>The floral fragrance and smooth taste of Hendrick’s Gin makes it ideal for cocktails that can be as classic or creative as the occasion demands. Raise the bar of elegance with original gin cocktails at drinks parties and garden get-togethers. Or serve in a refreshing gin and tonics to accompany low-key nights in.<br><br>Perfectly presentable for gifting<br>Wondrously versatile, Hendrick’s Gin is as cracking at Christmas as it is sublime in summer. Dressed up in a striking black bottle with an apothecary-inspired look, this premium spirit transforms a drinks cabinet from purely practical to delightfully decorative – the perfect gin gift.<br><br>How the gin is made<br>No other gin tastes like Hendrick’s because no other gin is made like Hendrick’s. Handcrafted in Scotland by award-winning distillers William Grant &amp; Sons, the excellent quality and unusual taste of Hendrick’s Gin is fiercely protected.<br>- Hendrick’s is a divine marriage of two different spirits from two utterly dissimilar types of stills: the Bennet Still and our rare Carter-head Still.<br>- Combining these two spirits with marvellous infusion of rose and cucumber yields an extraordinarily smooth gin that is a rare union of lightness and complexity. Award<br><br>In 2018, the Hendrick's Master Distiller, Lesley Gracie was named Distiller of the Year 2018 by Gin Magazine<br><br>Produced by family owned distillers, William Grant &amp; Sons, named Distiller of the Year at the International Wine &amp; Spirits Competition 2018 and the International Spirits Challenge 2018.<br><br><br>","{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""regex"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-28T17:18:38Z
morrisons,gin,https://groceries.morrisons.com/products/jj-pink-gin/113781042,113781042,JJ Pink Gin ,JJ Gin,19.5,24.4,True,1L,1000.0,37.5,Glass Bottle,,,InStock,,"{""abv_percent"": ""regex"", ""availability"": ""jsonld"", ""brand"": ""jsonld"", ""country_of_origin"": ""missing"", ""description"": ""jsonld"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""css"", ""name"": ""jsonld"", ""pack_type"": ""regex"", ""price_gbp"": ""jsonld"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""jsonld"", ""sku"": ""jsonld""}",2026-08-28T17:18:38Z
