retailer,category,product_url,sku,name,brand,price_gbp,price_was,is_on_promotion,size_raw,size_ml,abv_percent,pack_type,country_of_origin,flavour_style,availability,description,field_sources,scraped_at
whisky_exchange,gin,https://www.thewhiskyexchange.com/p/14553/monkey-47-schwarzwald-dry-gin,14553,Monkey 47 Schwarzwald Dry Gin,Monkey 47,39.25,42.25,True,50cl,500.0,47.0,,,,InStock,,"{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""css"", ""country_of_origin"": ""missing"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""css"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-28T20:57:19Z
whisky_exchange,gin,https://www.thewhiskyexchange.com/p/72138/tanqueray-london-dry-gin-413,72138,Tanqueray London Dry Gin (41.3%),Tanqueray,21.5,,False,70cl,700.0,41.3,,,,InStock,,"{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""css"", ""country_of_origin"": ""missing"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-28T20:57:19Z
whisky_exchange,gin,https://www.thewhiskyexchange.com/p/2261/hendricks-gin,2261,Hendrick's Gin,Hendrick's,29.95,,False,70cl,700.0,41.4,,,,InStock,,"{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""css"", ""country_of_origin"": ""missing"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-28T20:57:19Z
whisky_exchange,gin,https://www.thewhiskyexchange.com/p/11404/xoriguer-gin-mahon,11404,Xoriguer Gin Mahon,Xoriguer,28.75,,False,70cl,700.0,38.0,,,,InStock,,"{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""css"", ""country_of_origin"": ""missing"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-28T20:57:19Z
whisky_exchange,gin,https://www.thewhiskyexchange.com/p/18973/plymouth-gin,18973,Plymouth Gin,Plymouth,29.5,,False,70cl,700.0,41.2,,,,InStock,,"{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""css"", ""country_of_origin"": ""missing"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-28T20:57:19Z
whisky_exchange,gin,https://www.thewhiskyexchange.com/p/13847/the-botanist-islay-dry-gin,13847,The Botanist Islay Dry Gin,The Botanist,35.75,,False,70cl,700.0,46.0,,,,InStock,,"{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""css"", ""country_of_origin"": ""missing"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-28T20:57:19Z
whisky_exchange,gin,https://www.thewhiskyexchange.com/p/86020/papa-salt-coastal-gin,86020,Papa Salt Coastal Gin,Papa Salt,36.75,,False,70cl,700.0,42.8,,,,InStock,,"{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""css"", ""country_of_origin"": ""missing"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-28T20:57:19Z
whisky_exchange,gin,https://www.thewhiskyexchange.com/p/87313/roku-noryo-tea-edition-gin,87313,Roku Noryo Tea Edition Gin,Roku Noryo Tea,33.5,,False,70cl,700.0,43.0,,,,InStock,,"{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""css"", ""country_of_origin"": ""missing"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-28T20:57:19Z
whisky_exchange,gin,https://www.thewhiskyexchange.com/p/37540/ki-no-bi-kyoto-dry-gin,37540,Ki No Bi Kyoto Dry Gin,Ki No Bi,49.75,,False,70cl,700.0,45.7,,,,InStock,,"{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""css"", ""country_of_origin"": ""missing"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-28T20:57:19Z
whisky_exchange,gin,https://www.thewhiskyexchange.com/p/46091/isle-of-harris-gin,46091,Isle of Harris Gin,Isle of Harris,43.5,,False,70cl,700.0,45.0,,,,InStock,,"{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""css"", ""country_of_origin"": ""missing"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-28T20:57:19Z
