retailer,category,product_url,sku,name,brand,price_gbp,price_was,is_on_promotion,size_raw,size_ml,price_per_litre,abv_percent,pack_type,country_of_origin,flavour_style,availability,description,field_sources,scraped_at
whisky_exchange,rum,https://www.thewhiskyexchange.com/p/4548/ron-zacapa-solera-gran-reserva-rum,4548,Ron Zacapa Solera Gran Reserva Rum,Ron Zacapa,47.5,,False,70cl,700.0,67.86,40.0,,Guatemala,"caramel, vanilla, cocoa, dried fruit, honeyed sweetness, spices, molasses, smoke",InStock,"A benchmark rum for many, Ron Zacapa is made from the first press of sugar cane and aged high in the Guatemalan mountains, where it benefits from cooler temperatures that slow maturation and deepen its character. Using the solera method, it combines spirits aged between six and 23 years to create consistent flavour. Expect aromas of caramel, vanilla, cocoa and dried fruit, followed by a palate of honeyed sweetness, spices and a long, velvety finish with hints of molasses and smoke.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:23:45Z
whisky_exchange,rum,https://www.thewhiskyexchange.com/p/87885/the-scarlet-ibis-18-year-old-rum-the-whisky-exchange,87885,The Scarlet Ibis 18 Year Old Rum The Whisky Exchange,The Whisky Exchange,59.95,,False,70cl,700.0,85.64,55.0,,Trinidad & Tobago,"lush, fruity rum with a heady nose. Sweet ripe banana, dark sugar, chocolate and soft spicing",InStock,"The first ever rum bottled by The Whisky Exchange, this is an exquisite molasses-based distillate made and aged in Trinidad for something very special. 18 years maturing in the island’s tropical climate have resulted in a lush, fruity rum with a heady nose. Sweet ripe banana, dark sugar, chocolate and soft spicing all combine for a rum to remember.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:23:45Z
whisky_exchange,rum,https://www.thewhiskyexchange.com/p/12021/kraken-black-spiced-rum,12021,Kraken Black Spiced Rum,Kraken,28.95,,True,70cl,700.0,41.36,40.0,,Caribbean Blend,"rich, sticky rum infused with vanilla, caramel and an assortment of baking spices",InStock,"Introduced to the UK in Spring 2010, Kraken is a dark spiced Caribbean rum that quickly gained popularity thanks to its vintage-style bottle and outstanding packaging. Inside, you'll find a rich, sticky rum infused with vanilla, caramel and an assortment of baking spices. Perfect for mixing into a Cuba Libre.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""css"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:23:45Z
whisky_exchange,rum,https://www.thewhiskyexchange.com/p/48667/foursquare-hereditas-14-year-old-exclusive-to-the-whisky-exchange,48667,Foursquare Hereditas 14 Year Old Exclusive to The Whisky Exchange,Foursquare,94.95,150.0,True,70cl,700.0,135.64,56.0,,Barbados,"fruity, rich",InStock,"Hereditas is a fruity, rich 14-year-old rum from Foursquare distillery in Barbados, bottled exclusively for The Whisky Exchange. Matured in a combination of bourbon and sherry casks, this is a bold tropical rum with notes of raisins, banoffee and stewed berries throughout the palate.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""css"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:23:45Z
whisky_exchange,rum,https://www.thewhiskyexchange.com/p/47531/isla-n-white-rum,47531,Isla N White Rum,Isla Ñ,11.5,16.5,True,70cl,700.0,16.43,40.0,,Argentina,"sweet, spicy",InStock,"A sweet, spicy single estate white rum made using fermented sugar cane from Tucuman in Argentina. The nose is sweet and smooth, with notes of vanilla, coconut, caramel and milk chocolate, building into richer coffee aromas. The palate opens with lighter notes of vanilla and caramel, before deepening with notes of spiced oak, peanut butter and toffee.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""css"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:23:45Z
whisky_exchange,rum,https://www.thewhiskyexchange.com/p/14068/stroh-80-austrian-rum,14068,Stroh '80' Austrian Rum,Stroh,33.75,,False,50cl,500.0,67.5,80.0,,Austria,rich notes of caramel burnt sugar and spices,InStock,"Stroh 80 has been made in Klagenfurt, Austria since 1832 and built its reputation as a kitchen essential. Its power and flavour made it a key ingredient in traditional recipes like apple strudel and Sacher cake, especially for flambéing and enhancing desserts. The rum’s unique character comes from Caribbean molasses, which is imported and then blended and distilled locally. Expect rich notes of caramel, burnt sugar and spices.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:23:45Z
whisky_exchange,rum,https://www.thewhiskyexchange.com/p/87499/worthy-park-109-rum,87499,Worthy Park 109 Rum,Worthy Park,33.75,,False,70cl,700.0,48.21,54.5,,Jamaica,Full-bodied and funky,InStock,"A field-to-glass Jamaican rum that has been distilled, aged, blended and bottled on the historic Worthy Park estate. Full-bodied and funky, this high-ester rum offers notes of tropical fruit, crystallised ginger and rich oak spice.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:23:45Z
whisky_exchange,rum,https://www.thewhiskyexchange.com/p/4536/pussers-gunpowder-proof-british-navy-rum,4536,Pusser's Gunpowder Proof British Navy Rum,Pusser's,39.95,,False,70cl,700.0,57.07,54.5,,Caribbean Blend,British Navy style rum,InStock,"A classic British Navy style rum, Pusser's Gunpowder Proof rum has rich notes of treacle, toffee, honey and vanilla throughout the palate, alongside oak, cinnamon and ginger. Taking its name from the naval tradition of providing sailors a daily ration of rum, distributed by the Purser – or Pusser. The Pusser would dispel any complaints of watering down the rum by wetting a pinch of gunpowder with the rum and attempting to light it. If the mixture ignited it was &quot;proof&quot; that the rum was strong enough.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:23:45Z
whisky_exchange,rum,https://www.thewhiskyexchange.com/p/85036/hampden-estate-1753,85036,Hampden Estate 1753,Hampden,59.5,65.5,True,70cl,700.0,85.0,46.0,,Jamaica,"funky, fruity, tropical",InStock,"A tribute to nearly three centuries of tradition, the Hampden Estate 1753 is named after the year the estate was founded. Balanced and approachable, it’s both authentic and accessible, the perfect entry point for people new to Jamaican rum or those wanting to explore Hampden’s house style.  A pure single Jamaican rum, it’s distilled on-site using local spring water, wild-yeast fermentation, and copper pot stills, with no added sugar or artificial colouring. It carries that funky, fruity, tropical character that Hampden Estate rum has become so renowned for: think ripe banana, pineapple, tropical fruit, sugar cane, herbal notes, and a touch of petrol and spice.  Drink it neat to fully appreciate all its vibrant aromatics or mix it into cocktails for added depth and character. Whether sipping or stirring, this high-ester rum delivers boldly and leaves a lasting impression.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""css"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:23:45Z
whisky_exchange,rum,https://www.thewhiskyexchange.com/p/55388/appleton-estate-12-year-old-rare-casks,55388,Appleton Estate 12 Year Old Rare Casks,Appleton,49.75,,False,70cl,700.0,71.07,43.0,,Jamaica,"tropical fruit, hazelnuts, molasses, vanilla, coffee, orange zest",InStock,"Appleton Estate’s Old Rare Casks was made by master blender Joy Spence from a blend of hand-picked pot and column still rums. Matured for at least 12 years in Jamaica, you can expect notes tropical fruit, hazelnuts and molasses, complemented by creamy vanilla, freshly ground coffee and bright orange zest.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:23:45Z
