retailer,category,product_url,sku,name,brand,price_gbp,price_was,is_on_promotion,size_raw,size_ml,price_per_litre,abv_percent,pack_type,country_of_origin,flavour_style,availability,description,field_sources,scraped_at
whisky_exchange,vodka,https://www.thewhiskyexchange.com/p/59847/ciroc-summer-citrus-vodka,59847,Ciroc Summer Citrus Vodka,Ciroc,33.25,,False,70cl,700.0,47.5,37.5,,France,blood orange tangerine lime zest lemon,InStock,"A limited-edition Summer Citrus vodka from Ciroc that has aromas of blood orange and tangerine on the nose, complemented by notes of lime zest, blood orange and lemon throughout the palate.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:21:23Z
whisky_exchange,vodka,https://www.thewhiskyexchange.com/p/5099/grey-goose-vodka,5099,Grey Goose Vodka,Grey Goose,39.95,,False,70cl,700.0,57.07,40.0,,France,Delicate and fresh,InStock,"The iconic ultra-premium vodka, Grey Goose is a staple in bars and restaurants around the world. Born of a determination to create a French vodka unlike any other, it is made with the finest ingredients from the Cognac region of France. Delicate and fresh, with a creamy texture, Grey Goose is perfect for making your favourite cocktails, or simply enjoying over ice.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:21:23Z
whisky_exchange,vodka,https://www.thewhiskyexchange.com/p/5073/belvedere-organic-vodka,5073,Belvedere Organic Vodka,Belvedere,34.95,,False,70cl,700.0,49.93,40.0,,Poland,extraordinary purity,InStock,"A bottle of glorious quadruple-distilled rye vodka of extraordinary purity, Belvedere is as well known for its beautiful bottle as for its quality. A style-bar favourite.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:21:23Z
whisky_exchange,vodka,https://www.thewhiskyexchange.com/p/5140/reyka-vodka,5140,Reyka Vodka,Reyka,26.5,,False,70cl,700.0,37.86,40.0,,Iceland,,InStock,"Reyka is a small batch vodka produced in Iceland using a process that includes the filtration through lava rock.  Made in one of only six carter head stills in the world, this is made from a mixture of wheat and barley.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:21:23Z
whisky_exchange,vodka,https://www.thewhiskyexchange.com/p/85127/svitlo-vodka-of-ukraine-litre,85127,Svitlo Vodka of Ukraine Litre,Svitlo,29.95,,False,100cl,1000.0,29.95,40.0,,Ukraine,"creamy, well-balanced",InStock,"A creamy, well-balanced corn vodka from the Cherasky region of central Ukraine. This is a great choice for your next Martini or Bloody Mary, but it will also really shine served well-chilled with pickles and smoke meat or fish. Every bottle of Svitlo sold helps to support creative industries in Ukraine, a cause well worth raising a glass to.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:21:23Z
whisky_exchange,vodka,https://www.thewhiskyexchange.com/p/82403/utkins-uk5-organic-vodka,82403,Utkins UK5 Organic Vodka,Utkins,22.5,,False,70cl,700.0,32.14,37.5,,England,crisp,InStock,"Utkins UK5 organic vodka is made using organic barley and pure British water to create a crisp and great tasting spirit. The producers have held a royal warrant since 2007, appointed by King Charles while he was Prince of Wales, and continued now that he is king.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:21:23Z
whisky_exchange,vodka,https://www.thewhiskyexchange.com/p/21537/black-cow-vodka,21537,Black Cow Vodka,Black Cow,30.25,,False,70cl,700.0,43.21,40.0,,England,creamy,InStock,"Black Cow was the world's first vodka to be made entirely from milk. Made in West Dorset, in the proximity of Bridport, the milk is separated in curds and whey. The curds are used to make cheese, of which one is Barber's 1833 Cheddar, which won the 2012 World Cheese Awards Cheddar Trophy. The whey is then fermented and distilled to make the vodka. The texture is, somewhat unsurprisingly, rather creamy.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:21:23Z
whisky_exchange,vodka,https://www.thewhiskyexchange.com/p/70882/pau-maui-vodka,70882,Pau Maui Vodka,Pau Maui,19.75,29.75,True,75cl,750.0,26.33,40.0,,USA,crisp,InStock,"This crisp vodka is made at Hali’imaile distillery in Makawao, Hawaii. In addition to producing vodka, the distillery also makes gin, rum and whiskey. Pau Maui vodka is designed to work well in an array of classic cocktails but shines when mixed with juicy pineapples – the original Hawaiian treat.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""css"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""css"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:21:23Z
whisky_exchange,vodka,https://www.thewhiskyexchange.com/p/53086/beluga-noble-vodka,53086,Beluga Noble Vodka,Beluga,45.95,,False,70cl,700.0,65.64,40.0,,Montenegro,Clean and crisp,InStock,"A bottle of Beluga's excellent vodka, distilled in Latvia and bottled in Montenegro. Clean and crisp with just a hint of grainy flavour.  Made with malted barley as a base, this is lightly flavoured with honey, oak and milk thistle.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""llm"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:21:23Z
whisky_exchange,vodka,https://www.thewhiskyexchange.com/p/12782/koniks-tail-vodka,12782,Konik's Tail Vodka,Konik's Tail,41.5,,False,70cl,700.0,59.29,40.0,,Poland,,InStock,"Launched in 2010, Konik's Tail is named after the wild ponies of Poland's primeval forest, and is crafted from three distinct grains – spelt, rye and early winter wheat, represented by the three koniks on the label. Konik's Tail has been a huge hit in style bars.","{""abv_percent"": ""css"", ""availability"": ""css"", ""brand"": ""jsonld"", ""country_of_origin"": ""css"", ""description"": ""jsonld"", ""flavour_style"": ""missing"", ""is_on_promotion"": ""missing"", ""name"": ""css"", ""pack_type"": ""missing"", ""price_gbp"": ""css"", ""price_per_litre"": ""derived"", ""price_was"": ""missing"", ""size_ml"": ""regex"", ""size_raw"": ""css"", ""sku"": ""css""}",2026-08-29T14:21:23Z
